Date,S&P 500,Dow 30,NASDAQ,Gold,EUR/USD,10-Yr Bond,Bitcoin
2020-01-06,3246.280029,28703.380859,9071.469727,null,1.118230,null,9412.612305
2020-01-07,3237.179932,28583.679688,9068.580078,1462.300049,1.120230,1.836000,9342.527344
2020-01-08,3253.050049,28745.089844,9129.240234,1478.199951,1.122083,1.709000,9360.879883
2020-01-09,3274.699951,28956.900391,9203.429688,1474.000000,1.122083,1.781000,9267.561523
2020-01-10,3265.350098,28823.769531,9178.860352,1476.900024,1.117144,1.797000,8804.880859
2020-01-13,3288.129883,28907.050781,9273.929688,1459.099976,1.116196,1.842000,8813.582031
2020-01-14,3283.149902,28939.669922,9251.330078,null,1.119799,null,9055.526367
2020-01-15,3289.290039,29030.220703,9258.700195,1459.300049,1.115474,1.829000,8757.788086
2020-01-16,3316.810059,29297.640625,9357.129883,1462.599976,1.111321,1.833000,8815.662109
2020-01-17,3329.620117,29348.099609,9388.940430,1469.400024,1.111111,1.790000,8808.262695
2020-01-21,3320.790039,29196.039063,9370.809570,1466.699951,1.111667,1.897000,8708.094727
2020-01-22,3321.750000,29186.269531,9383.769531,1475.599976,1.113573,1.819000,8491.992188
2020-01-23,3325.540039,29160.089844,9402.480469,null,1.113090,null,8550.760742
2020-01-24,3295.469971,28989.730469,9314.910156,1475.000000,1.115400,1.892000,8577.975586
2020-01-27,3243.629883,28535.800781,9139.309570,1474.599976,1.113958,1.889000,8309.286133
2020-01-28,3276.239990,28722.849609,9269.679688,1472.599976,1.109459,1.924000,8206.145508
2020-01-29,3273.399902,28734.449219,9275.160156,1478.199951,1.109693,1.908000,8027.268066
2020-01-30,3283.659912,28859.439453,9298.929688,1474.699951,1.108561,1.917000,7642.750000
2020-01-31,3225.520020,28256.029297,9150.940430,null,1.109644,null,7296.577637
2020-02-03,3248.919922,28399.810547,9273.400391,1482.500000,1.105522,1.935000,7397.796875
2020-02-04,3297.590088,28807.630859,9467.969727,null,1.102536,null,7047.916992
2020-02-05,3334.689941,29290.849609,9508.679688,1509.300049,1.101977,1.905000,7146.133789
2020-02-06,3345.780029,29379.769531,9572.150391,1513.800049,1.102256,1.874000,7218.371094
2020-02-07,3327.709961,29102.509766,9520.509766,null,1.101686,null,7531.663574
2020-02-10,3352.090088,29276.820313,9628.389648,1514.500000,1.102913,1.895000,7463.105957
2020-02-11,3357.750000,29276.339844,9638.940430,1519.500000,1.108979,1.919000,7761.243652
2020-02-12,3379.449951,29551.419922,9725.959961,1524.500000,1.106293,1.882000,7569.629883
2020-02-13,3373.939941,29423.310547,9711.969727,1549.199951,1.104728,1.788000,7424.292480
2020-02-14,3380.159912,29398.080078,9731.179688,1571.300049,1.100231,null,7321.988281
2020-02-18,3370.290039,29232.189453,9732.740234,1566.199951,1.098298,1.811000,7320.145508
2020-02-19,3386.149902,29348.029297,9817.179688,1571.800049,1.094931,1.827000,7252.034668
2020-02-20,3373.229980,29219.980469,9750.969727,1557.400024,1.091346,1.874000,7448.307617
2020-02-21,3337.750000,28992.410156,9576.589844,1551.699951,1.091941,1.858000,7546.996582
2020-02-24,3225.889893,27960.800781,9221.280273,1557.500000,1.087595,1.825000,7556.237793
2020-02-25,3128.209961,27081.359375,8965.610352,1559.900024,1.084599,null,7564.345215
2020-02-26,3116.389893,26957.589844,8980.780273,1548.400024,1.084175,1.848000,7400.899414
2020-02-27,2978.760010,25766.640625,8566.480469,1542.400024,1.084011,1.818000,7278.119629
2020-02-28,2954.219971,25409.359375,8567.370117,1552.099976,1.079540,1.788000,7217.427246
2020-03-02,3090.229980,26703.320313,8952.169922,1549.000000,1.081010,1.809000,7243.134277
2020-03-03,3003.370117,25917.410156,8684.089844,1558.800049,1.078800,1.836000,7269.684570
2020-03-04,3130.120117,27090.859375,9018.089844,1557.300049,1.083905,null,7124.673828
2020-03-05,3023.939941,26121.279297,8738.589844,1556.400024,1.084920,1.769000,7152.301758
2020-03-06,2972.370117,25864.779297,8575.620117,1555.300049,1.088200,1.769000,6932.480469
2020-03-09,2746.560059,23851.019531,7950.680176,1564.599976,1.088589,1.740000,6640.515137
2020-03-10,2882.229980,25018.160156,8344.250000,1571.099976,1.099723,1.681000,7276.802734
2020-03-11,2741.379883,23553.220703,7952.049805,1582.300049,1.105131,null,7202.844238
2020-03-12,2480.639893,21200.619141,7201.799805,1576.800049,1.114405,1.605000,7218.816406
2020-03-13,2711.020020,23185.619141,7874.879883,1569.199951,1.118068,1.641000,7191.158691
2020-03-16,2386.129883,20188.519531,6904.589844,1569.800049,1.113908,1.594000,7511.588867
2020-03-17,2529.189941,21237.380859,7334.779785,1583.500000,1.122385,1.558000,7355.628418
2020-03-18,2398.100098,19898.919922,6989.839844,1582.900024,1.138602,1.520000,7322.532227
2020-03-19,2409.389893,20087.189453,7150.580078,1593.500000,1.139796,null,7275.155762
2020-03-20,2304.919922,19173.980469,6879.520020,1577.199951,1.131651,1.520000,7238.966797
2020-03-23,2237.399902,18591.929688,6860.669922,1550.400024,1.126152,1.603000,7290.088379
2020-03-24,2447.330078,20704.910156,7417.859863,1557.800049,1.118493,1.649000,7317.990234
2020-03-25,2475.560059,21200.550781,7384.299805,1565.099976,1.115536,1.644000,7422.652832
2020-03-26,2630.070068,22552.169922,7797.540039,1568.599976,1.116321,1.578000,7292.995117
2020-03-27,2541.469971,21636.779297,7502.379883,1577.300049,1.101552,null,7193.599121
2020-03-30,2626.649902,22327.480469,7774.149902,1574.699951,1.096155,1.547000,7200.174316
2020-03-31,2584.590088,21917.160156,7700.100098,1565.599976,1.065735,1.590000,6985.470215
2020-04-01,2470.500000,20943.509766,7360.580078,1567.400024,1.069439,1.630000,7344.884277
2020-04-02,2526.899902,21413.439453,7487.310059,1575.099976,1.076461,1.617000,7410.656738
2020-04-03,2488.649902,21052.529297,7373.080078,1582.699951,1.080264,1.588000,7411.317383
2020-04-06,2663.679932,22679.990234,7913.240234,1585.800049,1.088957,null,7769.219238
2020-04-07,2659.409912,22653.859375,7887.259766,1600.000000,1.104826,1.556000,8163.692383
2020-04-08,2749.979980,23433.570313,8090.899902,1607.500000,1.113908,1.570000,8079.862793
2020-04-09,2789.820068,23719.369141,8153.580078,1616.599976,1.103047,1.525000,7879.071289
2020-04-13,2761.629883,23390.769531,8192.419922,1644.599976,1.102657,1.471000,8166.554199
2020-04-14,2846.060059,23949.759766,8515.740234,1667.500000,1.095362,null,8037.537598
2020-04-15,2783.360107,23504.349609,8393.179688,1672.400024,1.084740,1.377000,8192.494141
2020-04-16,2799.550049,23537.679688,8532.360352,1646.900024,1.080696,1.330000,8144.194336
2020-04-17,2874.560059,24242.490234,8650.139648,1640.000000,1.080380,1.310000,8827.764648
2020-04-20,2823.159912,23650.439453,8560.730469,1643.099976,1.089514,1.299000,8807.010742
2020-04-21,2736.560059,23018.880859,8263.230469,1642.500000,1.086366,1.127000,8723.786133
2020-04-22,2799.310059,23475.820313,8495.379883,null,1.092741,null,8929.038086
2020-04-23,2797.800049,23515.259766,8494.750000,1566.699951,1.093267,1.088000,8942.808594
2020-04-24,2836.739990,23775.269531,8634.519531,1594.800049,1.092299,1.010000,8706.245117
2020-04-27,2878.479980,24133.779297,8730.160156,1644.400024,1.098539,0.992000,8657.642578
2020-04-28,2863.389893,24101.550781,8607.730469,1643.000000,1.090510,0.926000,8745.894531
2020-04-29,2939.510010,24633.859375,8914.709961,1668.000000,1.085847,0.706000,8680.875977
2020-04-30,2912.429932,24345.720703,8889.549805,null,1.086697,null,8406.515625
2020-05-01,2830.709961,23723.689453,8604.950195,1672.400024,1.086484,0.499000,8445.434570
2020-05-04,2842.739990,23749.759766,8710.709961,1675.699951,1.085647,0.748000,8367.847656
2020-05-05,2868.439941,23883.089844,8809.120117,1660.300049,1.080964,0.820000,8596.830078
2020-05-06,2848.419922,23664.640625,8854.389648,1642.300049,1.077702,0.849000,8909.819336
2020-05-07,2881.189941,23875.890625,8979.660156,1590.300049,1.082368,0.951000,9358.589844
2020-05-08,2929.800049,24331.320313,9121.320313,null,1.082485,null,9316.629883
2020-05-11,2930.189941,24221.990234,9192.339844,1516.699951,1.083658,0.728000,9508.993164
2020-05-12,2870.120117,23764.779297,9002.549805,1486.500000,1.087725,0.997000,9350.529297
2020-05-13,2820.000000,23247.970703,8863.169922,1525.800049,1.094547,1.266000,9392.875000
2020-05-14,2852.500000,23625.339844,8943.719727,1477.900024,1.095963,1.119000,9344.365234
2020-05-15,2863.699951,23685.419922,9014.559570,1479.300049,1.090429,0.938000,9293.521484
2020-05-18,2953.909912,24597.369141,9234.830078,1495.599976,1.083858,null,9180.962891
2020-05-19,2922.939941,24206.859375,9185.099609,1575.699951,1.079855,0.764000,9613.423828
2020-05-20,2971.610107,24575.900391,9375.780273,1696.099976,1.083717,0.816000,9729.801758
2020-05-21,2948.510010,24474.119141,9284.879883,1638.099976,1.083952,0.858000,9795.943359
2020-05-22,2955.449951,24465.160156,9324.589844,1636.599976,1.080941,0.811000,9865.119141
2020-05-26,2991.770020,24995.109375,9340.219727,1630.599976,1.084681,0.749000,10116.673828
2020-05-27,3036.129883,25548.269531,9412.360352,1664.199951,1.082368,null,9856.611328
2020-05-28,3029.729980,25400.640625,9368.990234,1637.199951,1.080696,0.670000,10208.236328
2020-05-29,3044.310059,25383.109375,9489.870117,1592.400024,1.082134,0.698000,10326.054688
2020-06-01,3055.729980,25475.019531,9552.049805,1605.199951,1.091512,0.635000,10214.379883
2020-06-02,3080.820068,25742.650391,9608.379883,1637.699951,1.092777,0.627000,10312.116211
2020-06-03,3122.870117,26269.890625,9682.910156,1648.800049,1.098298,0.587000,9889.424805
2020-06-04,3112.350098,26281.820313,9615.809570,null,1.095290,null,9934.433594
2020-06-05,3193.929932,27110.980469,9814.080078,1730.699951,1.090780,0.676000,9690.142578
2020-06-08,3232.389893,27572.439453,9924.750000,1693.900024,1.090300,0.736000,10141.996094
2020-06-09,3207.179932,27272.300781,9953.750000,1680.699951,1.098177,0.764000,9633.386719
2020-06-10,3190.139893,26989.990234,10020.349609,1740.599976,1.101686,0.729000,9608.475586
2020-06-11,3002.100098,25128.169922,9492.730469,1738.199951,1.107911,null,9686.441406
2020-06-12,3041.310059,25605.539063,9588.809570,1769.400024,1.111852,0.749000,9663.181641
2020-06-15,3066.590088,25763.160156,9726.019531,1751.300049,1.112595,0.752000,9924.515625
2020-06-16,3124.739990,26289.980469,9895.870117,1743.300049,1.118944,0.638000,9650.174805
2020-06-17,3113.489990,26119.609375,9910.530273,1730.099976,1.123595,0.609000,9341.705078
2020-06-18,3108.530029,25981.199219,9926.174805,1694.500000,1.133787,0.654000,8820.522461
